fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
65.73076923077,50.0,4.0,108.53846153846,149.0,68.6,240.0,300.0,1.0,-25.328466088021,8.3969880327695
65.73076923077,50.0,4.0,108.53846153846,159.0,68.6,240.0,300.0,0.9991,-35.851059330192,8.590181634008712
65.73076923077,50.0,4.0,108.53846153846,169.0,68.6,240.0,300.0,0.9937,-36.695614711398,8.605105031229549
65.73076923077,50.0,4.0,108.53846153846,179.0,68.6,240.0,300.0,0.9883,-29.840581917755,8.676575319132754
65.73076923077,50.0,4.0,108.53846153846,189.0,68.6,240.0,300.0,0.5482,-31.617774071473,8.991915885900914
65.73076923077,50.0,4.0,108.53846153846,199.0,68.6,240.0,300.0,0.5428,-50.139022670417,8.975164585769267
65.73076923077,50.0,4.0,108.53846153846,209.0,68.6,240.0,300.0,0.5374,-33.410442743342,8.951824601254101
65.73076923077,50.0,4.0,108.53846153846,219.0,68.6,240.0,300.0,0.532,-28.288708694229,8.8811985084001
65.73076923077,50.0,4.0,108.53846153846,229.0,68.6,240.0,300.0,0.5275,-23.111935939486,8.716195929342375
65.73076923077,50.0,4.0,108.53846153846,239.0,68.6,240.0,300.0,0.5788,-25.520477994158,8.330351661694491
65.73076923077,50.0,4.0,108.53846153846,249.0,68.6,240.0,300.0,0.5734,-32.731954474334,8.041684397358793
65.73076923077,50.0,4.0,108.53846153846,259.0,68.6,240.0,300.0,0.568,-45.536100888643,7.945162455839139
65.73076923077,50.0,4.0,108.53846153846,139.0,73.5,240.0,300.0,0.5734,-19.468119635057,8.191098251892134
65.73076923077,50.0,4.0,108.53846153846,149.0,73.5,240.0,300.0,0.5662,-21.206464454092,8.987084594687618
65.73076923077,50.0,4.0,108.53846153846,159.0,73.5,240.0,300.0,0.982,-24.525759121648,7.91691679939702
65.73076923077,50.0,4.0,108.53846153846,169.0,73.5,240.0,300.0,0.9766,-34.115036906145,8.007288610305238
65.73076923077,50.0,4.0,108.53846153846,179.0,73.5,240.0,300.0,0.9721,-36.595000138131,8.017576808581309
65.73076923077,50.0,4.0,108.53846153846,189.0,73.5,240.0,300.0,0.5419,-30.518315322478,8.98089247931109
65.73076923077,50.0,4.0,108.53846153846,199.0,73.5,240.0,300.0,0.5365,-38.927875342986,8.969550017473624
65.73076923077,50.0,4.0,108.53846153846,209.0,73.5,240.0,300.0,0.532,-40.997483855061,8.939278618725739
65.73076923077,50.0,4.0,108.53846153846,219.0,73.5,240.0,300.0,0.5266,-31.181525592515,8.84992514415702
65.73076923077,50.0,4.0,108.53846153846,229.0,73.5,240.0,300.0,0.5221,-26.190536153705,8.612384604763582
65.73076923077,50.0,4.0,108.53846153846,239.0,73.5,240.0,300.0,0.5185,-22.894441228575,8.378242522230165
65.73076923077,50.0,4.0,108.53846153846,249.0,73.5,240.0,300.0,0.5689,-22.52520163131,8.052686649066658
65.73076923077,50.0,4.0,108.53846153846,259.0,73.5,240.0,300.0,0.5635,-25.285509790491,8.093155422458164
65.73076923077,50.0,4.0,108.53846153846,139.0,78.4,240.0,300.0,0.568,-24.121959266052,8.256417176801659
65.73076923077,50.0,4.0,108.53846153846,149.0,78.4,240.0,300.0,0.5608,-25.634683731153,8.996842978814664
65.73076923077,50.0,4.0,108.53846153846,159.0,78.4,240.0,300.0,0.5545,-28.202763842298,8.974040460401069
65.73076923077,50.0,4.0,108.53846153846,169.0,78.4,240.0,300.0,0.5491,-31.589729662586,8.97383239633496
65.73076923077,50.0,4.0,108.53846153846,179.0,78.4,240.0,300.0,0.5428,-34.788356708301,8.96188664954642
65.73076923077,50.0,4.0,108.53846153846,189.0,78.4,240.0,300.0,0.5374,-56.326802700797,8.952791393269809
65.73076923077,50.0,4.0,108.53846153846,199.0,78.4,240.0,300.0,0.5329,-43.280594699236,8.9444315658364
65.73076923077,50.0,4.0,108.53846153846,209.0,78.4,240.0,300.0,0.5284,-32.509519101698,8.904564948553276
65.73076923077,50.0,4.0,108.53846153846,219.0,78.4,240.0,300.0,0.5239,-28.000664421046,8.798254151548756
65.73076923077,50.0,4.0,108.53846153846,229.0,78.4,240.0,300.0,0.5185,-24.219968117357,8.573774848540754
65.73076923077,50.0,4.0,108.53846153846,239.0,78.4,240.0,300.0,0.5149,-22.134743606304,8.367356859440036
65.73076923077,50.0,4.0,108.53846153846,249.0,78.4,240.0,300.0,0.937,-20.583013984829,7.50277242608464
65.73076923077,50.0,4.0,108.53846153846,259.0,78.4,240.0,300.0,0.9352,-20.333787284119,7.499863169121764
65.73076923077,50.0,4.0,108.53846153846,139.0,83.3,240.0,300.0,0.5788,-47.428781624934,8.6666637637589
65.73076923077,50.0,4.0,108.53846153846,149.0,83.3,240.0,300.0,0.5716,-35.834869978724,8.9329067832883
65.73076923077,50.0,4.0,108.53846153846,159.0,83.3,240.0,300.0,0.5725,-26.850704056783,8.9463382374083
65.73076923077,50.0,4.0,108.53846153846,169.0,83.3,240.0,300.0,0.5644,-25.02648236572,8.875904356453344
65.73076923077,50.0,4.0,108.53846153846,179.0,83.3,240.0,300.0,0.5527,-28.791848994525,8.749106998522821
65.73076923077,50.0,4.0,108.53846153846,189.0,83.3,240.0,300.0,0.55,-25.39131680506,8.805498351599
65.73076923077,50.0,4.0,108.53846153846,199.0,83.3,240.0,300.0,0.5446,-23.303160345493,8.797305378462665
65.73076923077,50.0,4.0,108.53846153846,209.0,83.3,240.0,300.0,0.5401,-21.554148361401,8.781338100837337
